Article_ID,Date,Title,Summary,Topic_2digit
14519,12/15/2000,"THE 43RD PRESIDENT: THE CONGRESS;
House Leader Differs With Bush On Across-the-Board Tax Cuts",Tax cut discussions,1
14520,12/15/2000, Clinton Plays the Palace,Clinton in England,19
14521,12/16/2000,"THE 43RD PRESIDENT: THE PRESIDENT-ELECT;
SAYING DOWNTURN IS POSSIBLE, BUSH TRUMPETS TAX CUT",Bush promotes tax cuts,1
14522,12/16/2000,CITY SCHOOL CHIEF PROPOSES CHANGES IN BILINGUAL STUDY,bilingual education,6
14523,12/16/2000,Oil Patch Is Coming Back to Life As Natural Gas Prices Set Record,natural gas prices set record,8
14524,12/16/2000,"THE 43RD PRESIDENT: THE VICE PRESIDENT-ELECT;
Cheney to Play A Starring Role On Capitol Hill",Cheney's role on capitol hill,20
14525,12/16/2000,"THE 43RD PRESIDENT;
Congress Finishes Its Work By Approving Spending Bill",congress finishes spending bill,1
14526,12/16/2000,"Russia's Doctors Are Beggars At Work, Paupers at Home",doctors in russia,19
14527,12/16/2000,"Putin, in Cuba, Signals Priority Of Ties to U.S.",Putin talks about ties with US,19
14528,12/16/2000,Chernobyl Nuclear Plant Is Shut Down,Chernobyl shut down,19
14529,12/16/2000,One More Title,Shaq gets a diploma,29
14530,12/17/2000,A Sheik's Lessons: Hatred for the West,an anti-western cleric,19
14531,12/17/2000,A Soldier-Statesman,Colin Powell,20
14532,12/17/2000,"THE 43RD PRESIDENT: THE PRESIDENT-ELECT;
POWELL TO HEAD STATE DEPT. AS BUSH'S FIRST CABINET PICK",Powell to head secretary of state,20
14533,12/17/2000," THE 43RD PRESIDENT: MAN IN THE NEWS;
Insider With Star Power; Colin Luther Powell",Colin Powell,20
14534,12/17/2000,"THE 43RD PRESIDENT: THE DEMOCRATS;
MANY DEMOCRATS APPEAR SKEPTICAL OF GORE'S FUTURE",the future of Al Gore,20
14535,12/17/2000,Power Shortage Sends Ripples Across West,power shortages in the west,8
14536,12/17/2000,"WORKING DEATH ROW: A special report.;
In the Busiest Death Chamber, Duty Carries Its Own Burdens",death penalty,12
14537,12/17/2000,"THE NEEDIEST CASES;
Sustenance For the Poor",New York Times Neediest Cases Fund,13
14538,12/17/2000,"War Victims Find a Haven, for Now",war victims from sierra leone in New York,19
14539,12/18/2000,"THE 43rd PRESIDENT: THE WHITE HOUSE STAFF;
Bush Adviser Gets National Security Post",Rice to be NSA,20
14540,12/18/2000, Rain and Wind Rip Through Region,rain,26
14541,12/18/2000, Suburbs Face Tests As Charter Schools Continue to Spread,charter schools in suburbs,6
14542,12/18/2000,Bush Legislative Plan,bush legislative plan,20
14543,12/18/2000,"THE 43rd PRESIDENT: NEWS ANALYSIS;
A Dual Path In Diplomacy",Colin Powell,20
14544,12/18/2000,"THE 43rd PRESIDENT: WOMAN IN THE NEWS;
Compulsion To Achieve -- Condoleezza Rice",Condoleeza Rice,20
14545,12/18/2000,Crystal Ball on Security,intelligence projections,16
14546,12/18/2000,Early Bargains Aren't Enticing Many Shoppers,christmas shopping season,1
14547,12/18/2000,Barak and Arafat Will Send Aides to Talks in Washington,mideast peace talks,19
14548,12/19/2000,"TAX MAGICIANS/A special report.;
Sham Shelters for Business Flourish as Scrutiny Fades",tax shelters,1
14549,12/19/2000,Terror Label No Hindrance To Anti-Arab Jewish Group,Anti-Arab Jews,19
14550,12/19/2000,"THE 43RD PRESIDENT: THE PRESIDENT-ELECT;
PRESIDENT-ELECT COURTS CONGRESS AND URGES TAX CUT",Bush urges tax cuts,1
14551,12/19/2000,ISRAEL PARLIAMENT WILL NOT DISBAND TO FACE ELECTION,Israeli parliament,19
14552,12/19/2000, Signs of Suburbia Among Mayan Ruins,suburbs in Mayan cities,17
14553,12/19/2000,Aetna to Shed Customers and Jobs In Effort to Cut Health Care Costs,Aetna shedding customers,15
14554,12/19/2000,BUSH MEETS WITH GREENSPAN,Bush and greenspan meet,1
14555,12/19/2000,An Uneasy Alliance Formed on Spending,spending increases in congress,1
14556,12/19/2000,Congress Severely Curtails Plan For Low-Power Radio Stations,Congress plan for low-power radio stations,17
14557,12/20/2000,"After a Brief and Stormy Tenure, Director of Carnegie Hall Resigns",carnegie hall director resigns,28
14558,12/20/2000,Two Studies Report No Links to Cancer In Cell Phones' Use,studies on cancer and cell phone use,3
14559,12/20/2000,"THE 43rd PRESIDENT: THE PRESIDENT-ELECT;
A 'Humbled' Bush Visits His New Home",Bush visits new home,20
14560,12/20/2000, School Vouchers: A Rose by Other Name?,school vouchers,6
14561,12/20/2000,CLINTON WILL ISSUE NEW PRIVACY RULES TO SHIELD PATIENTS,new medical privacy rules,2
14562,12/20/2000,"FED, SHIFTING GOAL, STRESSES FIGHTING RISK OF RECESSION",federal reserve fighting recession,1
14563,12/20/2000,Officers in New Jersey Guilty in Beating Case,New Jersey officers in beating case,12
14564,12/20/2000,Children as Soldiers Of Colombia's War,child soldiers in colombia,19
14565,12/21/2000,"THE 43rd PRESIDENT: THE PRESIDENT-ELECT;
ALCOA'S CHAIRMAN IS NAMED BY BUSH TO TREASURY POST",Paul O'neill named nominated for Treasury secretary,20
14566,12/21/2000,"City Plans to Let Company Run Some Public Schools, in a First",Philadelphia to let a company run some public schools,6
14567,12/21/2000,"John V. Lindsay, Mayor and Maverick, Dies at 79",former NYC mayor dies,30
14568,12/21/2000,Whitman and Environment,new EPA head,20
14569,12/21/2000,"THE 43rd PRESIDENT: THE TREASURY DEPARTMENT -- Man in the News;
Industrialist With a Twist -- Paul Henry O'Neill",Paul O'Neill,20
14570,12/21/2000,Organic Food Labeling,organic food labels,4
14571,12/21/2000,Women Taking Active Role To Study Orthodox Judaism,women studying judaism,31
14572,12/21/2000,NEW RULES TO CUT DIESEL EMISSIONS,diesel emission rules,7
14573,12/21/2000,Market Paying Price for Valuing New-Economy Hope Over Profits,stock market troubles,1
14574,12/22/2000,Era Closes at Rockefeller Center With $1.85 Billion Deal on Sale,rockefeller center bought,14
14575,12/22/2000,"THE 43RD PRESIDENT: CHOOSING A CABINET;
G.O.P. SPLIT SLOWS BUSH'S SELECTION FOR DEFENSE POST",Bush's pick for secretary of defense,20
14576,12/22/2000,"As Consumers Turn Pessimistic, Factory Workers Feel the Chill",lower consumer demand,5
14577,12/22/2000,Capitalism Comes to Russian Health Care,russian health care,19
14578,12/22/2000,"Manhattan Election Is Finally Over, Too",election in manhattan ends,24
14579,12/22/2000,"THE 43RD PRESIDENT: RESISTING THE RECOUNT -- A special report.;
G.O.P.'s Depth Outdid Gore's Team in Florida",recount analysis,20
14580,12/22/2000,TRANSITION FOR TEXAS,new texas governor,24
14581,12/23/2000,"THE 43rd PRESIDENT: THE CHOICE -- Man in the News;
A Stalwart of the Right -- John David Ashcroft",John Ashcroft,20
14582,12/23/2000,"THE 43rd PRESIDENT: THE PRESIDENT-ELECT;
CONSERVATIVE FOR JUSTICE POST; WHITMAN CHOSEN TO HEAD E.P.A.",cabinet nominations,20
14583,12/23/2000,"In California, Woes on Power Set Off Clashes",energy deregulation in CA,8
14584,12/23/2000,Drug Makers Design Studies With Eye to Competitive Edge,drug research,3
14585,12/23/2000,A Ruling on Recounts,Florida supreme court ruling on recounts,20
14586,12/23/2000," 'Regular Jersey Guy' Steps In, And He Plans to Stay Awhile",new NJ governor,24
14587,12/23/2000,"AFTER LONG FIGHT, U.N. AGREES TO CUT DUES PAID BY U.S.",UN cuts US dues,19
14588,12/24/2000,"Striking Strengths, Glaring Failures",Clinton legacy,20
14589,12/24/2000,VOTERS IN SERBIA ERASE THE REMAINS OF MILOSEVIC RULE,serbian elections,19
14590,12/24/2000,Christmas Tree Fire Traps Family; 2 Children Die,fire kills 2,27
14591,12/24/2000, Top Seeding for Giants,NFL score,29
14592,12/24/2000,Angola's Goal: Stepping Back From the Abyss,Angola's recovery from violence,19
14593,12/24/2000, Jerusalem Christians Support Arab Stance,christians and mideast violence,19
14594,12/24/2000,Chinese Pigs Feed a Western Fashion Boom,leather sales,28
14595,12/24/2000,FAILING FARMERS LEARN TO PROFIT FROM FEDERAL AID,federal farm subsidies,4
14596,12/25/2000,WORKER SHORTAGE IN HEALTH FIELDS WORST IN DECADES,worker shortage in health care,3
14597,12/25/2000,Christmas Eve Around a World Not Yet at Peace,christmas eve,31
14598,12/25/2000, Illegal Migration Rises Sharply in European Union,illegal immigration in the EU,19
14599,12/25/2000,THE CLINTON LEGACY -- Second of five articles: Presiding Over Prosperity,clinton legacy of prosperity,1
14600,12/25/2000,A Torrent of Sludge Muddies a Town's Future,coal mining sludge,8
14601,12/25/2000,"Bethlehem, Dark and Quiet, Falls Victim to the Violence",violence in Bethlehem,19
14602,12/25/2000,Jets Run Out of Chances,Jets lose,29
14603,12/26/2000,Private Sector Sets Water Sale To Californians,water sale to california,7
14604,12/26/2000,A Bite at Noon,partial eclipse,26
14605,12/26/2000,"Two Grades, One Record",Christine Whitman,20
14606,12/26/2000,Police Feel Scorn on Beat And Pressure From Above,police feel pressure from above,12
14607,12/26/2000,CLINTON PRESENTS A BROAD NEW PLAN FOR MIDEAST PEACE,clinton's mideast peace plan,19
14608,12/26/2000,A War on Poverty Subtly Linked to Race,clinton legacy,13
14609,12/26/2000,"Kerosene, Weapon of Choice For Attacks on Wives in India",attacks on wives in india,19
14610,12/26/2000,"In Airline Math, an Early Arrival Doesn't Mean You Won't Be Late",airplane early arrivals,10
14611,12/27/2000,"Jason Robards, 78, Pre-eminent O'Neill Actor, Dies",death of an actor,30
14612,12/27/2000,"IN A TURNAROUND, WHITE HOUSE KILLS DRUG-IMPORT PLAN",Clinton kills drug import plan,3
14613,12/27/2000,7 Die in Rampage at Company; Co-Worker of Victims Arrested,workplace shooting kills 7,12
14614,12/27/2000,A Revival and a Party Transformed,Clinton's revival of the democratic party,20
14615,12/27/2000,Census Data Is Due As Congress Braces For a Reshuffling,census data,20
14616,12/27/2000,"Sales in Holiday Season Rose, Just Barely, Over Last Year's",holiday season sales,1
14617,12/27/2000,"Where Darwin Mused, Strife Over Ecosystem",Galapagos island ecosystem,19
14618,12/28/2000,Economic Engine for Foreign Policy,Clinton's foreign policy,20
14619,12/28/2000,Sex Education With Just One Lesson: No Sex,abstinence-only sex education,6
14620,12/28/2000,Lemieux Stars in Return,Hockey,29
14621,12/28/2000,"In Wake of Killings, Strands of Suspect's Life",office killings,12
14622,12/28/2000,3 ARAB COUNTRIES REACT FAVORABLY TO MIDEAST PLAN,mideast peace process,19
14623,12/28/2000, Clinton Names A Black Judge; Skirts Congress,Clinton appoints a black judge,20
14624,12/28/2000,Sharp Shift for China's Economy As Entrepreneurs Woo Investors,China's economy,19
14625,12/28/2000," For All Russia, Biological Clock Is Running Out",lower birthrates in russia,19
14626,12/29/2000,"BEATEN TRACK: A special report.;
I-95, a River of Commerce Overflowing With Traffic",I-95 highway,10
14627,12/29/2000,Fork in Arafat's Road,Yasir Arafat's choices,19
14628,12/29/2000,"THE 43RD PRESIDENT: DEFENSE POLICY;
Choice of Rumsfeld Creates Solid Team for Missile Shield",Rumsfeld chosen for secretary of defense,20
14629,12/29/2000,10-YEAR ESTIMATE OF BUDGET SURPLUS SURGES ONCE MORE,budget surplus projections,1
14630,12/29/2000,"THE 43RD PRESIDENT: THE PRESIDENT-ELECT;
DEFENSE SECRETARY CHOSEN; HELD SAME POST UNDER FORD",rumsfeld chosen as defense secretary,20
14631,12/29/2000,Twin Storms Move East After Battering the Plains,storms,26
14632,12/29/2000,"After Standing Up to Be Counted, Americans Number 281,421,906",Census results,20
14633,12/29/2000, ...as Killings Go On,Israel cordons off Palestinian territories,19
14634,12/30/2000,"As Abortion Rate Decreases, Clinics Compete for Patients",decline in abortion rates,2
14635,12/30/2000,"THE 43RD PRESIDENT: THE TRANSITION;
NEW PICKS FIRM UP CONSERVATIVE CAST OF BUSH'S CABINET",Bush cabinet appointments,20
14636,12/30/2000,"THE 43RD PRESIDENT;
Interior Choice Sends a Signal On Land Policy",Gale Norton,20
14637,12/30/2000,A Pair of Innovators,Cabinet appointments,20
14638,12/30/2000,Germany's Financial Heart Is Open but Wary,Frankfurt and german tolerance of immigrants,19
14639,12/30/2000,"THE MARKETS: STOCKS & BONDS;
STOCKS ARE LOWER ON THE FINAL DAY OF A BRUTAL YEAR",stock market is lower,1
14640,12/31/2000,A Fit City Offers Russia a Self-Help Model,Russia's health problems,19
14641,12/31/2000,"THE BLIZZARD OF 2000: THE SCENE;
Under a Swirling Sky and a Joyful Spell",Blizzard in NYC,26
14642,12/31/2000,"THE BLIZZARD OF 2000: THE OVERVIEW;
Blizzard Buries New York, Slowing Region to a Crawl",Blizzard in NYC,26
14643,12/31/2000,All Sides Resist Plan by Clinton For the Mideast,Clinton's plan for mideast peace,19
14644,12/31/2000,Groh Stuns the Jets By Stepping Down,Jets coach resigns,29
14645,12/31/2000,BUSH'S SELECTIONS SIGNAL A WIDENING OF CABINET'S ROLE,Bush cabinet choices,20
14646,1/1/2001,The Blizzard of 2000: The Overview: Concerns Over Storm's Leftovers Yield to New Year's Celebrations,people ignore blizzard concerns and enjoy New Year's,28
14647,1/1/2001,"With John Wayne and Sushi, Sex Shops Survive a Cleanup",sex shops still open despite attempts at crackdown,12
14648,1/1/2001,Son of Slain Rabbi Kahane Dies With Wife in West Bank Ambush,son of assasinated Brooklyn rabbi killed in West Bank,19
14649,1/1/2001,U.S. Signs Treaty For World Court To Try Atrocities,US signs treaty on international criminal tribunal,19
14650,1/1/2001,"To Run Pentagon, Bush Sought Proven Manager With Muscle",Bush administration mulling over potential secretary of defense nominee,20
14651,1/1/2001,Equal Footing: A special report; 9 Million Gaining Upgrade Benefit For Mental Care,improved mental health benefits for federal officials,20
14652,1/2/2001,Tyson Foods to Buy Leading Beef Packer,Food company to buy biggest beef packer,15
14653,1/2/2001,Special Today: Outlook,review of financal markets in 2000,1
14654,1/2/2001,Policy To Protect Jailed Immigrants Is Adopted By U.S.,INS creates standards for treatment of immigration detainees,5
14655,1/2/2001,What Keeps a Bottom Line Healty? Weight Loss,Frito-Lays putting less chips in bags to fight weight gain,3
14656,1/2/2001,Medicare Shift: Doctors' Errors To Be Disclosed,data about doctor errors to be disclosed,3
14657,1/2/2001,If On The First You Don't Succeed�,coast protection group's yearly attempt to signal people in NJ on New Year's Day,7
14658,1/2/2001,Arafat Expected To Meet Clinton In The U.S. Today,Arafat and Clinton to meet to discuss peace deal,19
14659,1/2/2001,Africa Diamond Hub Defies Smuggling Rules,UN diamond smuggling rules flawed,19
14660,1/2/2001,"Missing Element, a special report: Battery Park City is Success, Except for Pledge to the Poor",promised low-income housing units not reality,14
14661,1/2/2001,Pentagon Finds Ongoing Lapses In Gulf Security,security shortcomings before Cole bombing,16
14662,1/3/2001,The 43rd President: The Team; Democrat Chosen As Bush Completes Cabinet Selection,Bush completes Cabinet selections,20
14663,1/3/2001,Expectations Low As Clinton Pushes Plan With Arafat,little progress in negotiations with Arafat,19
14664,1/3/2001,The 43rd President: News Analysis; Conservative at the Core,"despite diverse Cabinet, Bush administration conservative",20
14665,1/3/2001,Greeting General Powell,Powell meeting with State Department officials,20
14666,1/3/2001,Mud Yields Ghosts of Hudson River's Past,research teaching more about Hudson River's past,7
14667,1/3/2001,Drug Shortages Become a Worry At Hospitals Around the Country,drug shortages concern hospitals,3
14668,1/3/2001,"Tianjin Journal; For a Fee, This Chinese Firm Will Beg Pardon For Anyone",Tianjin Apology and Gift Center; Chinese Firm Will Beg Pardon For Paying Customers,19
14669,1/3/2001,Stock Market Carries Over Into '01,stocks continue to fall,1
14670,1/4/2001,A Day of Firsts As Mrs. Clinton Takes the Oath,First Lady becomes New York Senator,20
14671,1/4/2001,Pataki Calls For Local Control Of Most State Aid to Schools,Pataki calls for more control over aid by school districts,6
14672,1/4/2001,Undefeated Oklahoma is No. 1 Football Team,undefeated NCAA football team,29
14673,1/4/2001,"Out of Africa or Bust, With a Desert to Cross",migrant smuggling route through Africa,19
14674,1/4/2001,"Buoyed by Fed Move, Bush Pushes Tax Cut",Bush beginning push for tax cut,1
14675,1/4/2001,"The Rate Cut: The Overview; Federal Reserve, Reacting To Signals Of A Slowdown, Cuts Key Rate Half A Point",Fed cuts interest rate,1
14676,1/4/2001,The Rate Cut: The Strategy; The First Cut is Not Taxes,Greenspan's interest rate cut meant to show Fed has economy under control,1
14677,1/4/2001,A Little Stock Exuberance,stocks go into buying mode after interest rate cut,1
14678,1/4/2001,Remedy For Waiting; Harried Doctors Try to Ease Big Delays and Rushed Visits,medical clinics trying to reduce delayed visits,3
14679,1/5/2001,One Strom Thurmond Helps Out Another,Strom Thurmond Jr running for Attorney of South Carolina,24
14680,1/5/2001,New York Surgeon Cleared of Treating Wrong Side of Brain,neurosurgeon operates on wrong side of brain,3
14681,1/5/2001,Clinton Creates Post to Protect Nation's Secrets,new czar to coordinate counterintelligence,16
14682,1/5/2001,Road Ban Set For One-Third Of U.S. Forests,"road building, logging banned in national forests",21
14683,1/5/2001,"Honoring '95 Vow, House Republicans Replace 13 Chiefs",Republicans plan to change House committee chairmen,20
14684,1/5/2001,Report To Clinton Asks U.S. To Ratify Test-Ban Treaty,study finds that US needs to ratify nuclear test ban treaty,16
14685,1/5/2001,Dare From Palestinians,Arafat conditionally accepts peace negotiations,19
14686,1/5/2001,Terrific News in Mexico City: Air Is Sometimes Breathable,Mexico City's air less foul than before,19
14687,1/5/2001,McCain Issues Challenge,McCain to force Senate Republicans to consider campaign finance,20
14688,1/6/2001,"As Bush Rises, Torricelli Cools Partisan Fire",leading Democratic Senator advocates bipartisanship,20
14689,1/6/2001,Senate To Divide Power And Money Equally In Panels,Senate to equally split seats between Democrats and Republicans,20
14690,1/6/2001,Israeli Sees Time Lacking For Pact,Israel feels time running out for peace agreement,19
14691,1/6/2001,New Window On Tiananmen Square Crackdown,documents on Tiananmen Square released,19
14692,1/6/2001,Boats Big And Small,National Boat Show,10
14693,1/6/2001,New Jersey Troopers Again Face Charges In Turnpike Shooting,appeal court reinstates charges against state troopers,12
14694,1/6/2001,Chalk White on a Gray Background,snow,26
14695,1/6/2001,Pentagon Will Order New Review on Cole,Pentagon calls for review of security lapses during Cole bombing,16
14696,1/6/2001,G.O.P. to Press For Unraveling Of Clinton Acts,Republicans to undo Clinton's last-minute environmental acts,7
14697,1/7/2001,Shifting Of Power From Washington Is Seen Under Bush,"Bush to give states, local governments more autonomy",20
14698,1/7/2001,Unions Plan To Fight Bush's Labor Choice,national labor unions fighting labor secretary,5
14699,1/7/2001,The Final Vote Count,Bush's win confirmed by Electoral College,20
14700,1/7/2001,Romania's AIDS Children: A Lifeline Lost,Romanian children struggle with AIDS,19
14701,1/7/2001,Vikings and Raiders Advance in Playoffs,NFL playoffs,29
14702,1/7/2001,The Death of a River Looms Over Choice for Interior Post,Interior nominee has environmental disaster has a sticking point,20
14703,1/7/2001,Religious Right Made Big Push Ashcroft in Justice Dept.,Religious leaders pushed Ashcroft as Attorney General,20
14704,1/7/2001,U.S. Economic Ills Spell Risk Abroad,fear of a global economic downturn coming from US,18
14705,1/8/2001,American Airlines Reported Near a Deal to Buy T.W.A,American Airlines negotiating merger of TWA,15
14706,1/8/2001,Illegal Immigrant Lived in Labor Designee's Home,Labor secretary had illegal immigrant living in home,20
14707,1/8/2001,"Doubtful On Pact, Clinton Lays Out Plan For Mideast",Clinton describes specifics of Israeli-Palestinian peace settlement,19
14708,1/8/2001,Defense Choice Made a Name As an Infighter,Rumsfeld chosen as Secretary of Defense nominee based on past history,20
14709,1/8/2001,A New Destroyer May Force Choice On The Bush Team,Bush hasn't and may not pledge money for new stealth ship,16
14710,1/8/2001,Interception Return Is Boost For Giants,Giants advance to NFC Championship,29
14711,1/8/2001,"For Teenagers, Fast Food Is a Snack, Not a Job",teenagers don't want to work fast-food jobs,5
14712,1/8/2001,Ecuador Is Fearful As Colombia's War Spills Over Border,countries fear spill over of violence and coca from Colombia,12
14713,1/9/2001,California Governor Offers a Plan To Save State From Energy Crisis,California Governor denounces electricity deregulation attempt,8
14714,1/9/2001,The Mayor's Address: The Overview; Giuliani Proposes Extending School To 'Patch' System,NYC Mayor proposes changes for the school year,6
14715,1/9/2001,The Dawn of Music For Man and Beast,interest in music is more engrained in human race than previously thought,3
14716,1/9/2001,Consumer Groups Oppose Proposal to Merge Airlines,proposal to merge airlines getting resistance,15
14717,1/9/2001,Clinton Forest Chief Acts to Stop Logging Of the Oldest Trees,Forest Services issues policy barring cutting of timber,7
14718,1/9/2001,Israeli Protest Plan to Divide Jerusalem,Israelis protest American plan to divide Jerusalem,19
14719,1/9/2001,Bush Reaffirms His Confidence In Labor Choice,Bush defends choice of Chavez as interior secretary,20
14720,1/9/2001,Bush Courts Key Lawmakers For Support on Defense Goals,Bush tries bipartisanship for defense initiatives,16
14721,1/10/2001,A Whitman Farewell,New Jersey Governor gives last address,24
14722,1/10/2001,"New York Will Pay $50 Million In 50,000 Illegal Strip-Searches",NYC administration to pay strip-search lawsuits,12
14723,1/10/2001,Calls For Change In The Scheduling Of The School Day,politicians call for extending school days,6
14724,1/10/2001,"Parcells Resigns From Jets, Leaving a Team in Turmoil",Coach regins from NFL team,29
14725,1/10/2001,Bush Choice For Labor Post Withdraws And Cites Furor Of Illegal Immigrant Issue,Chavez withdraws nomination as labor secretary,20
14726,1/10/2001,Lessons of a Swift Exit,future Bush administration experiences set back with nominee's withdraw,20
14727,1/10/2001,Ads Now Seek Recruits for 'An Army of One',Army changes recruitment slogan,16
14728,1/10/2001,Found: 2 Planetary Systems.  Result: Astronomers Stunned,more planetary systems found in universe,17
14729,1/11/2001,Lott and Conservatives Rallying Behind Ashcroft For Justice Post,Republicans support Ashcroft as Attorney General and warned Democrats to cooperate,20
14730,1/11/2001,Elite Nuclear Forces Opening To Reservists and the Guard,National Guard and Reserves allowed into nuclear forces,16
14731,1/11/2001,Sharon Opens His Campaign; U.S. Diplomat Puts Off Trip,Sharon kicks off Israeli Prime Minister campaign,19
14732,1/11/2001,"For OPEC, Cuts in Production Are a Delicate Balancing Act",OPEC decisions watched closely,8
14733,1/11/2001,The Ruling In The Schools: The Overview; State Judge Rules School AID System Is Unfair To City,state's method of public school finacing determined illegal,6
14734,1/11/2001,A Session at the Pentagon,Cabinet nominees meet with current Cabinet members,20
14735,1/11/2001,Pandas Take a Bow,pandas at National Zoo,15
14736,1/11/2001,Ancient Bit of Rock May Alter Theories Of Earth's History,crystal may change theories of when life appeared on Earth,17
14737,1/12/2001,Bitter Words for Giuliani From The Police,Police protest over pay,12
14738,1/12/2001,The Ruling On The Schools: The Politics; Ruling May Force the City To Spend More on Schools,ruling may force state to spend more on public schools,6
14739,1/12/2001,The Power Crisis: The Shortages; Blackouts Are Narrowly Averted As California Struggles for Power,California struggles to avoid blackouts,8
14740,1/12/2001,Army Confirms G.I's in Korea Killed Civilians,Officials acknowledge GIs killed civilians in Korean War,16
14741,1/12/2001,"In A Swift Action, Bush Names Choice For Labor Dept.",Bush chooses replacement for labor secretary,20
14742,1/12/2001,Giant Media Merger Approved by F.C.C.,FCC approves merger of AOL-Time Warner,15
14743,1/12/2001,Bush Candidate For Defense Job Seeks Overhaul,Rumsfeld to overhaul defense program as secretary,20
14744,1/12/2001,Mexico's Green Dream: No More Cancuns,Mexico seeking to limit construction on Caribbean Coast,19
14745,1/12/2001,Monkey Born With Genetically Engineered Cells,scientist insert gene into monkey egg to test genetic engineering,3
14746,1/12/2001,Clinton Contributor To Aid Investigation,billionaire to aid investigating campaign finance abuses after pleading guilty,20
14747,1/13/2001,"Tears, Lies, and Glimpses of Truth Keep Nigerians Glued to the TV",televised hearings of Nigeria's Human Rights Violations Investigation Commission,19
14748,1/13/2001,"Mideast Clock Ticks, Perhaps Inaudibly to Some",Israeli-Palestinians resume negotiations under pressure of Clinton's exit,19
14749,1/13/2001,U.S. To Offer Detailed Trail of bin Laden in Bomb Trial,trial of Kenyan embassy bombing to detail Bin Laden connections,16
14750,1/13/2001,California Acting to Relieve Crisis,California Governor working to avoid energy crisis,8
14751,1/13/2001,City Power Plants Approved,temporary power plants to be built to ease NYC energy load,8
14752,1/13/2001,"Recruiting Pitch: Monastic Life, for 3 Days",college students try monastic life,31
14753,1/13/2001,Fray in Europe Over Uranium Draws Doubters,debate in Europe over whether or not NATO ammunition caused leukemia,19
14754,1/14/2001,Puerto Rico Governor Seeks End to Navy Bombing,Puerto Rico Governor wants cessation of Navy bombings on Island,16
14755,1/14/2001,Dissecting a Terror Plot From Boston to Amman,former Boston cab driver helped with Jordanian bombing,19
14756,1/14/2001,Faith as Compass and Core,Ashcroft believes government should legislate morality,20
14757,1/14/2001,Ashcroft Battle Likely To Focus On Race Issues,Ashcroft to be battle in Senate,20
14758,1/14/2001,One Man and a Global Web of Violence,Bin Laden leads global jihad,19
14759,1/14/2001,"Only Joking, But Healing South Africa, Too.",South Africa moving past difficult racial past through comedy,19
14760,1/14/2001,"In His First Days, Bush Plans Review Of Clinton's Acts",Bush to spend first few days of presidency rolling back Clinton's acts,20
14761,1/14/2001,"From the Ranch, President-Elect Gazes Back and Looks to Future",Bush preparing for presidency by reading previous president's biography,20
14762,1/14/2001,Stringent Steps Taken By U.S. On Cow Illness,US taking steps to prevent Mad Cow breakout,4
14763,1/15/2001,Rescuers Search Quake's Wall of Dirt for Victims,searching for victims after earthquake in Central America,26
14764,1/15/2001,Giants Reach Super Bowl in a 41-0 Rout,Super Bowl team one,29
14765,1/15/2001,Democrats Facing Difficult Choices in New Congress,Democrats facing difficulties with new switches in Congress and Presidency,20
14766,1/15/2001,"Laura Bush Sees Everything In Its Place, Including Herself",Laura Bush prepared to be First Lady,20
14767,1/15/2001,Broad Plan Aims to Improve Police Rapport With Public,Police Commissioner planning changes to interact with public,12
14768,1/15/2001,Top German Official Dogged by 70's Role,German Foreign Minister under fire for hitting policeman in 1970s,19
14769,1/16/2001,The Stakes on Ashcroft,Ashcroft nomination to be first battle,20
14770,1/16/2001,Manhattan Rents Starting To Drop After Long Climb,Manhattan rent prices dropping,14
14771,1/16/2001,Coach Caught in the Middle (Again),basketball coach caught in fight,29
14772,1/16/2001,Honoring Martin Luther King  Jr.,observance of MLK Jr.,20
14773,1/16/2001,"Killing for the Glory of God, In a Land Far From Home",Pakistani describing fighting in global jihad,19
14774,1/16/2001,"Allies, Questioning Bush Stand, Say U.S. Kosovo Role is Crucial",NATO believes US role in Kosovo essential,16
14775,1/16/2001,Security Council's New Role,NSC to become more important under Bush,16
14776,1/16/2001,Designee Takes a Deft Touch And a Firm Will to Treasury,Treasury-Secretary nominee's past,20
14777,1/16/2001,Clinton Is Calling For More Scrutiny Of Major Airlines,Clinton wants more policing of airline industry,10
14778,1/16/2001,Screenwriters May Walk Out Over Film Credit and Respect,screenwriters want more credit for work,28
14779,1/17/2001,"In Testimony, Ashcroft Vows To Enfore Laws He Dislikes",Ashcroft tells Senate he will enfore laws he dislikes,20
14780,1/17/2001,Stadium Building Boom Bypasses New York,no major league stadiums in New York,29
14781,1/17/2001,Pataki To Appeal Decision By Judge On Aid to Schools,Pataki to appeal court ruling on NYC public schools,6
14782,1/17/2001,"As in Election, No Consensus on Inaugural",mixed thoughts on upcoming Inaugural,20
14783,1/17/2001,Congo Leader Reportedly Dead After Being Shot by Bodyguard,Congo leader killed by bodyguard,19
14784,1/17/2001,"Citing European Banana Quotas, Chiquita Says Bankrupcty Looms",Banana producers claims will go bankrupt because of quotas,18
14785,1/17/2001,Israeli Campaign Advertising Shifts Into High Gears on TV,campaign ads on Israeli television,19
14786,1/18/2001,Ashcroft on Abortion,Ashcroft tells Senate would not challenge abortion,20
14787,1/18/2001,"Hints of Cooperation, Signs of Conflict",cooperation between Democrats and Republicans on Capitol Hill,20
14788,1/18/2001,California in State of Emergency Over Power,state of emergency in California forces power cut temporarily,8
